 ,,,"Cust
Pounds",,,,,,,Case Dimensions,,,Pallet Info,
Customer group,Mat'l,Yr/Mo,12/2019,01/2020,02/2020,TI/HI,PLT QTY,Net Weight ,Gross Weight,H,L,W,Gross Weight (65lb per pallet),Pallet Height in Inches (5in per plt)
HANNAFORD DAIRY,167140,COLBY JACK SHNGL SLC 12/8 OZ HANN,"4,596 ","6,906 ","4,596 ",16X08,128,6,6.63,4.375,12.063,8.813,  913.64 ,  40.000 
HANNAFORD DAIRY,167152,SHARP CHED C 2% RF BAR 12/8 OZ HANN,"6,600 ","5,400 ","4,800 ",25X11,275,6,6.38,3.875,11.25,6.75,"  1,819.50 ",  47.625 
HANNAFORD DAIRY,167153,COLBY JACK 2% RF BAR 12/8 OZ HANN,"4,902 ","4,932 ","1,650 ",25X11,275,6,6.38,3.98,10.865,6.615,"  1,819.50 ",  48.780 
HANNAFORD DAIRY,167154,MEX FNCY 4CH SHR 12/16 OZ ZSUP HANN,"48,852 ","69,084 ","38,880 ",12X05,60,12,12.62,7.14,15.82,9.82,  822.20 ,  40.700 
HANNAFORD DAIRY,167155,MEX 2%RF FCY 4CH SHR 12/8 OZ ZSUP HANN,"13,938 ","17,274 ","12,234 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,167405,AMER W SLC 12/12 OZ HANN,"4,698 ","4,725 ","5,940 ",20X11,220,9,9.422,4.25,11.5,7.625,"  2,137.84 ",  51.750 
HANNAFORD DAIRY,167445,PROV SLC 12/16 OZ TWPK ZIP HANN,"8,064 ","6,528 ","8,448 ",16X07,112,12,12.97,5.625,13,8.74,"  1,517.64 ",  44.375 
HANNAFORD DAIRY,167446,MEX SHR 6/2 LB ZIP HANN,"44,268 ","50,268 ","36,900 ",15X05,75,12,12.84,8.375,12.875,9.375,"  1,028.00 ",  46.875 
HANNAFORD DAIRY,167900,SHARP CHED W CRK CUT 12/10 OZ HANN,"24,225 ","17,213 ","15,300 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,167901,NY SHARP CHED W CRK CUT 12/10 OZ HANN,"16,575 ","10,193 ","8,288 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,168255,PEPPER JACK SHNGL SLC 12/8 OZ HANN,"5,370 ","7,680 ","6,144 ",16X08,128,6,6.83,4.375,12.063,8.813,  939.24 ,  40.000 
HANNAFORD DAIRY,168256,X-SH CHED W CHK 12/16 OZ HANN,"12,096 ","12,192 ","8,808 ",21X07,147,12,12.58,6.5,12.625,6.875,"  1,914.26 ",  50.500 
HANNAFORD DAIRY,168730,MILD CHED C SHNGL SLC 12/8 OZ HANN,"5,376 ","7,680 ","6,900 ",16X08,128,6,6.63,4.375,12.063,8.813,  913.64 ,  40.000 
HANNAFORD DAIRY,168929,SHARP CHED W BAR 12/8 OZ HANN,"11,538 ","6,588 ","8,232 ",25X11,275,6,6.38,3.875,11.25,6.75,"  1,819.50 ",  47.625 
HANNAFORD DAIRY,168930,X-SH CHED W BAR 12/8 OZ HANN,"10,200 ","8,370 ","7,170 ",25X11,275,6,6.38,3.875,11.25,6.75,"  1,819.50 ",  47.625 
HANNAFORD DAIRY,168933,SWISS 2% RF SHNGL SLC 12/6.67 OZ HANN,"3,842 ","3,832 ","2,547 ",16X08,128,6,5.63,4.375,12.063,8.813,  785.64 ,  40.000 
HANNAFORD DAIRY,170650,SHARP CHED W SHNGL SLC 12/8 OZ HANN,"9,198 ","11,514 ","9,972 ",16X08,128,6,6.63,4.375,12.063,8.813,  913.64 ,  40.000 
HANNAFORD DAIRY,170654,PARM FNCY SHR 12/6 OZ ZSUP HANN,"15,026 ","15,656 ","10,751 ",15X08,120,6,5.25,5.418,15.677,7.927,  695.00 ,  48.344 
HANNAFORD DAIRY,170665,SWISS SHNGL SLC 12/7 OZ HANN,"8,054 ","10,070 ","7,334 ",16X08,128,6,5.88,4.375,12.063,8.813,  817.64 ,  40.000 
HANNAFORD DAIRY,170666,SHARP CHED W SHR 12/16 OZ ZSUP HANN,"31,680 ","33,744 ","17,988 ",12X05,60,12,13.05,7.14,15.82,9.82,  848.00 ,  40.700 
HANNAFORD DAIRY,170686,MILD CHD C 2%RFFCY SHR 12/8 OZ ZSUP HANN,"7,200 ","7,920 ","4,296 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,170689,MAC N CHEESE SHR 12/8 OZ ZSUP HANN,"8,640 ","7,920 ","5,040 ",15X08,120,6,6.74,5.418,15.677,7.927,  873.80 ,  48.344 
HANNAFORD DAIRY,170694,SHARP CHED W FNCY SHR 12/8 OZ ZSUP HANN,"13,146 ","10,080 ","7,200 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,170700,PIZZA SHR 12/16 OZ ZSUP HANN,"35,244 ","46,788 ","23,760 ",12X05,60,12,13.05,7.14,15.82,9.82,  848.00 ,  40.700 
