Mat'l,Description,Pallet QTY,Random Wt,Case Weight,Cust #,,,,,,
174810,MOZZ LMPS THICK SHR 6/32 OZ ZIP LUCE,60,No,13.26,04949,,,,,,
174811,MOZZ CHNK 12/32 OZ LUCE,65,No,25.03,04402,,,,,,
174812,MOZZ LMPS SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04515,,,,,,
174818,CHED/JACK SHR 6/32 OZ ZIP LUCE,60,No,13.26,04880,,,,,,
174819,MILD CHED C SHR 6/32 OZ ZIP LUCE,60,No,13.26,04881,,,,,,
174820,MEX 2%RF FCY 4CH SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04752,,,,,,
174821,MOZZ LMPS SHR 12/8 OZ ZSUP LUCE,120,No,6.74,04259,,,,,,
174822,MOZZ LMPS FNCY SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04867,,,,,,
174823,CHED/JACK FNCY SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04419,,,,,,
174824,MOZZ LMWM SHR 12/8 OZ ZSUP LUCE,120,No,6.67,04877,,,,,,
174826,MOZZ THICK SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04944,,,,,,
174827,MEX THICK SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04945,,,,,,
174828,X-SH CHD C FCY SHR 12/7 OZ ZSUP LUCE,120,No,5.5,04833,,,,,,
174830,TACO FNCY SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04871,,,,,,
174832,SHARP CHED C THICK SHR 6/32 OZ ZIP LUCE,60,No,13.26,04950,,,,,,
175444,BABY SWISS SHNGL SLC 12/8 OZ LUCE,128,No,6.55,16354,,,,,,
260351,PEPPER JACK SHNGL SLC 12/8 OZ PT,128,No,6.83,04558,,,,,,
262795,PEPPER JACK CHUB 4/2.5 LB PT,200,Yes,10.8,71330,,,,,,
262796,MED CHED C CHUB 4/2.5 LB PT,200,Yes,10.8,71329,,,,,,
262797,HORSRD CHED W CHUB 4/2.5 LB PT,200,Yes,10.8,71328,,,,,,
263719,SMOKED GOUDA CHUB 2/2.5 LB PTC,232,Yes,5.8,09326,,,,,,
264203,MUENSTER CHNK 6/8 OZ PT,272,No,3.38,16127,,,,,,
264204,PEPPER JACK CHNK 6/8 OZ PT,272,No,3.38,16126,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
